タイプ,管理記号,管理番号,SKUグループ,カラー,SKU,プリント,パーツ名,使用数,用尺（m）,備考
個別,FA,094,CUP,CAT ネコ,CUP_CAT,P,CAT_45*19.5,1,,
個別,FA,095,CUP,LURE ルアー,CUP_LURE,P,LURE_45*19.5,1,,
個別,FA,096,MASK,N ノーマル,MASK_N,P,11264_31*17,1,0.06,
個別,FA,097,MASK,W ワイド,MASK_W,P,11264_31*21,1,0.06,
個別,FA,098,SNAP,KH カーキ,SNAP_KH,,41033_146*42_KH,1,0.42,
個別,FA,099,SNAP,NA ネイビー,SNAP_NA,,41033_146*42_NA,1,0.42,
個別,FA,100,PNAP,BL ブルー,PNAP_BL,,701_102*42_BL,1,0.42,
個別,FA,101,PNAP,BE ベージュ,PNAP_BE,,701_102*42_BE,1,0.42,
個別,FA,102,PNAP,OR サーモンオレンジ,PNAP_OR,,701_102*42_OR,1,0.42,
個別,FA,103,PNAP,PK ピンク,PNAP_PK,,701_102*42_PK,1,0.42,
個別,FA,104,IBL,KI 生成,IBL_KI,,11264_74*49,1,0.37,
個別,FA,105,IBM,KI 生成,IBM_KI,,11264_63.5*44,1,0.32,
個別,FA,106,IBSS,KI 生成,IBSS_KI,,11264_53*28,1,0.18,
個別,FA,107,TP,RD レッド,TP_RD,,709Z_RD_a,1,,
個別,FA,108,TP,RD レッド,TP_RD,,709Z_RD_b,1,,
個別,FA,109,TP,MU マスタード,TP_MU,,709Z_MU_a,1,,
個別,FA,110,TP,MU マスタード,TP_MU,,709Z_MU_b,1,,
個別,FA,111,TP,BE ベージュ,TP_BE,,709Z_BE_a,1,,
個別,FA,112,TP,BE ベージュ,TP_BE,,709Z_BE_b,1,,
個別,FA,113,TP,BR カーキブラウン,TP_BR,,709Z_BR_a,1,,
個別,FA,114,TP,BR カーキブラウン,TP_BR,,709Z_BR_b,1,,
個別,FA,115,TP,BL ブルー,TP_BL,,709Z_BL_a,1,,
個別,FA,116,TP,BL ブルー,TP_BL,,709Z_BL_b,1,,
個別,FA,117,TP,NA ネイビー,TP_NA,,709Z_NA_a,1,,
個別,FA,118,TP,NA ネイビー,TP_NA,,709Z_NA_b,1,,
個別,FA,119,FBM,AP メローアプリコット,FBM_AP,,210_63.5*44_AP,1,0.64,
個別,FA,120,FBM,BL ラムネブルー,FBM_BL,,210_63.5*44_BL,1,0.64,
個別,FA,121,FBM,LE レモンクリーム,FBM_LE,,210_63.5*44_LE,1,0.64,
共通,FA,122,LBL,SB サンドベージュ,LBL_SB,,709Z_74*49_SB,1,0.3,
共通,FA,123,LBL,GY チャコールグレー,LBL_GY,,709Z_74*49_GY,1,0.3,
共通,FA,124,LBM,SB サンドベージュ,LBM_SB,,709Z_63.5*44_SB,1,0.27,
共通,FA,125,LBM,GY チャコールグレー,LBM_GY,,709Z_63.5*44_GY,1,0.27,
共通,FA,126,LBS,SB サンドベージュ,LBS_SB,,709Z_53*38_SB,1,0.18,
共通,FA,127,LBS,GY チャコールグレー,LBS_GY,,709Z_53*38_GY,1,0.18,
共通,FA,128,LBSS,SB サンドベージュ,LBSS_SB,,709Z_53*28_SB,1,0.135,
共通,FA,129,LBSS,GY チャコールグレー,LBSS_GY,,709Z_53*28_GY,1,0.135,
共通,FA,130,LBL,BK ブラック,LBL_BK,,709Z_74*49_BK,1,0.3,
共通,FA,131,LBM,BK ブラック,LBM_BK,,709Z_63.5*44_BK,1,0.27,
共通,FA,132,LBS,BK ブラック,LBS_BK,,709Z_53*38_BK,1,0.18,
共通,FA,133,LBSS,BK ブラック,LBSS_BK,,709Z_53*28_BK,1,0.135,
